"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Witt Jr., Bobby","677951","2024","709","538",0.332,0.315,0.017000000000000015,0.588,0.577,0.01100000000000001,0.41,0.407,0.0030000000000000027
"Perez, Salvador","521692","2024","652","467",0.271,0.275,-0.0040000000000000036,0.456,0.522,-0.066,0.335,0.36,-0.024999999999999967
"Garcia, Maikel","672580","2024","626","481",0.231,0.26,-0.028999999999999998,0.332,0.366,-0.033999999999999975,0.27,0.3,-0.02999999999999997
"Pasquantino, Vinnie","686469","2024","554","439",0.262,0.266,-0.0040000000000000036,0.446,0.438,0.008000000000000007,0.325,0.331,-0.006000000000000005
"DeJong, Paul","657557","2024","482","294",0.227,0.218,0.009000000000000008,0.427,0.395,0.03199999999999997,0.302,0.291,0.01100000000000001
"Pham, Tommy","502054","2024","478","335",0.248,0.263,-0.015000000000000013,0.368,0.407,-0.03899999999999998,0.297,0.319,-0.02200000000000002
"Melendez, MJ","669004","2024","451","299",0.206,0.239,-0.033,0.4,0.425,-0.024999999999999967,0.292,0.317,-0.025000000000000022
"Isbel, Kyle","664728","2024","426","306",0.229,0.234,-0.0050000000000000044,0.367,0.333,0.033999999999999975,0.286,0.281,0.004999999999999949
"Renfroe, Hunter","592669","2024","424","302",0.229,0.223,0.006000000000000005,0.392,0.362,0.030000000000000027,0.302,0.291,0.01100000000000001
"Fermin, Freddy","666023","2024","368","277",0.271,0.244,0.027000000000000024,0.366,0.334,0.03199999999999997,0.3,0.279,0.020999999999999963
"Massey, Michael","686681","2024","356","282",0.259,0.258,0.0010000000000000009,0.449,0.414,0.03500000000000003,0.317,0.309,0.008000000000000007
