"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Crawford, Kutter","676710","2024","759","524",0.223,0.224,-0.0010000000000000009,0.419,0.412,0.007000000000000006,0.304,0.304,0,"4.36","3.86","0.501"
"Houck, Tanner","656557","2024","743","524",0.231,0.257,-0.025999999999999995,0.32,0.384,-0.064,0.276,0.313,-0.03699999999999998,"3.12","4.11","-0.987"
"Bello, Brayan","678394","2024","702","474",0.252,0.256,-0.0040000000000000036,0.394,0.4,-0.006000000000000005,0.319,0.328,-0.009000000000000008,"4.49","4.56","-0.069"
"Pivetta, Nick","601713","2024","595","386",0.231,0.221,0.010000000000000009,0.439,0.407,0.03200000000000003,0.306,0.291,0.015000000000000013,"4.14","3.51","0.63"
"Paxton, James","572020","2024","437","313",0.251,0.255,-0.0040000000000000036,0.404,0.403,0.0010000000000000009,0.324,0.334,-0.010000000000000009,"4.39","4.74","-0.345"
"Criswell, Cooper","681867","2024","424","313",0.273,0.262,0.01100000000000001,0.422,0.398,0.023999999999999966,0.327,0.32,0.007000000000000006,"4.08","4.31","-0.233"
"Winckowski, Josh","670174","2024","336","246",0.272,0.262,0.010000000000000009,0.423,0.411,0.01200000000000001,0.327,0.322,0.0050000000000000044,"4.14","4.37","-0.225"
"Weissert, Greg","669711","2024","263","185",0.274,0.248,0.026000000000000023,0.401,0.367,0.03400000000000003,0.31,0.291,0.019000000000000017,"3.13","3.51","-0.384"
"García, Luis","472610","2024","254","183",0.26,0.235,0.025000000000000022,0.417,0.379,0.03799999999999998,0.314,0.293,0.02100000000000002,"4.88","3.56","1.321"
"Kelly, Zack","677161","2024","241","151",0.208,0.227,-0.019000000000000017,0.387,0.411,-0.023999999999999966,0.3,0.318,-0.018000000000000016,"3.97","4.25","-0.279"
"Bernardino, Brennan","657514","2024","226","142",0.256,0.233,0.022999999999999993,0.405,0.376,0.029000000000000026,0.322,0.305,0.017000000000000015,"4.06","3.88","0.179"
"Slaten, Justin","686580","2024","224","155",0.223,0.233,-0.010000000000000009,0.318,0.347,-0.02899999999999997,0.253,0.278,-0.025000000000000022,"2.93","3.19","-0.262"
"Priester, Quinn","682990","2024","221","171",0.277,0.271,0.006000000000000005,0.421,0.407,0.014000000000000012,0.327,0.324,0.0030000000000000027,"4.71","4.43","0.281"
"Jansen, Kenley","445276","2024","218","135",0.196,0.208,-0.011999999999999983,0.304,0.352,-0.04799999999999999,0.253,0.28,-0.027000000000000024,"3.29","3.24","0.053"
"Sims, Lucas","608371","2024","215","134",0.229,0.223,0.006000000000000005,0.413,0.384,0.02899999999999997,0.331,0.321,0.010000000000000009,"4.38","4.34","0.038"
"Ramírez, Yohan","670990","2024","208","134",0.28,0.252,0.028000000000000025,0.423,0.386,0.03699999999999998,0.351,0.328,0.022999999999999965,"6.20","4.56","1.64"
